variant,stability_mean,stability_ci95_low,stability_ci95_high,perplexity_mean,perplexity_ci95_low,perplexity_ci95_high,true_reject_mean,true_reject_ci95_low,true_reject_ci95_high,false_reject_mean,false_reject_ci95_low,false_reject_ci95_high,tail_loss_mean,novel_noise_tokens_mean,n_runs
ablation_A,0.9565131645230209,0.9555326181849566,0.9574937108610853,724.9788015024054,709.387252639391,740.5703503654198,0.635082304526749,0.6329225624670372,0.6372420465864608,0.20701131687242796,0.20522380134606763,0.2087988323987883,0,337.61728395061726,648
ablation_E,0.9346920313330399,0.933525228064388,0.9358588346016918,452.6777900407806,446.46594160335263,458.8896384782086,0.7522325102880659,0.750359953003012,0.7541050675731199,0.13377057613168725,0.13227139573878055,0.13526975652459394,0,0,648
ablation_EA,0.949629596695567,0.94845588614385,0.950803307247284,436.39891161940875,430.5516959977761,442.2461272410414,0.805622427983539,0.803957305624098,0.80728755034298,0.09985596707818932,0.09850755948302431,0.10120437467335433,0,0,648
ablation_O,0.9550142320019417,0.9545283060986287,0.9555001579052547,986.0625357185437,964.2192991369653,1007.9057723001221,0.6126748971193416,0.6104525391442623,0.614897255094421,0.2215380658436214,0.21967117950116377,0.22340495218607903,0,522.0370370370371,648
ablation_OA,0.9378346110240521,0.9362915008410071,0.9393777212070971,654.5385227895354,638.1417807802814,670.9352647987894,0.6667695473251029,0.6646994452070324,0.6688396494431733,0.18764917695473252,0.18592018416048592,0.1893781697489791,0,164.20987654320987,648
ablation_OE,0.9554468989264798,0.9550873696714691,0.9558064281814905,531.7324927145171,522.9729168632705,540.4920685657637,0.774866255144033,0.7730697380312072,0.7766627722568588,0.11969135802469136,0.11825054203530119,0.12113217401408152,0,0,648
ablation_miscalibrated,0.9432602728239122,0.9422195015500158,0.9443010440978087,891.6722733567278,873.1248196950278,910.2197270184279,0.256738683127572,0.25478782951166723,0.2586895367434767,0.6506275720164609,0.6484914006284032,0.6527637434045187,0,522.0370370370371,648
baseline_calibration_only,0.9346920313330399,0.933525228064388,0.9358588346016918,452.6777900407806,446.46594160335263,458.8896384782086,0.6508641975308642,0.6487264679047491,0.6530019271569794,0.19760288065843623,0.19584961606138768,0.19935614525548478,0,0,648
baseline_rag_only,0.9346920313330399,0.933525228064388,0.9358588346016918,452.6777900407806,446.46594160335263,458.8896384782086,0.6821502057613168,0.6801304129682693,0.6841699985543643,0.1782150205761317,0.1765577497796368,0.17987229137262659,0,0,648
control_accumulate,0.9432602728239122,0.9422195015500158,0.9443010440978087,891.6722733567278,873.1248196950278,910.2197270184279,0.5818261316872428,0.5796145242104008,0.5840377391640849,0.2409002057613169,0.23895840046208403,0.24284201106054978,0,522.0370370370371,648
control_replace,0.448539176258743,0.43698890766945225,0.46008944484803377,270.2388558003004,261.927446015014,278.5502655855868,0.5818261316872428,0.5796145242104008,0.5840377391640849,0.2409002057613169,0.23895840046208403,0.24284201106054978,389.4938271604938,239.44444444444446,648
oea_full,0.9367124347743142,0.9351450328464712,0.9382798367021572,502.1884959991958,494.206751703283,510.17024029510867,0.8359465020576132,0.8344174699410768,0.8374755341741497,0.08087448559670782,0.07967315412777476,0.08207581706564088,0,0,648
